Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,KE,,32,,ivory carvings,,P,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,KE,XX,,32,ivory carvings,,P,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CO,TZ,ZA,20,,trophies,,H,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,TZ,,2,2,tusks,,H,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,TZ,,2,,trophies,,H,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,TZ,,3,,trophies,,P,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,KE,,,2.1,specimens,kg,S,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,TZ,,1,2,trophies,,H,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MX,TZ,,2,2,trophies,,H,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,RU,TZ,,1,,trophies,,H,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,CD,XX,0.3,,specimens,kg,S,I
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,KE,,,10,live,g,S,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,TZ,,7,,trophies,,H,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,TZ,,,2,tusks,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AT,TZ,,2,2,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BE,TZ,,1,1,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BG,TZ,,,1,skins,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BG,TZ,,4,3,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,TZ,,2,2,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CO,TZ,ZA,1,,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CZ,TZ,,1,1,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DE,TZ,,7,6,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,DK,TZ,,2,2,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,ES,TZ,,4,3,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,FR,TZ,,5,9,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,FR,TZ,,24,,trophies,,P,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,GB,TZ,,2,2,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,HU,TZ,,3,4,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,IT,TZ,,2,2,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,MX,TZ,,13,7,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,OM,TZ,,,2,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,RO,TZ,,1,,skulls,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,RU,TZ,,,1,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,SK,TZ,,1,1,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,US,TZ,,,1,skins,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,US,TZ,,2,,trophies,,H,I
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,US,TZ,,40,39,trophies,,H,W
